46,ANNIE RIVER,ANNIE RIVER 0822 NT,,,,
116,POINT STEPHENS,POINT STEPHENS 0822 NT,,,,
296,INDULKANA,INDULKANA 0872 NT,,,,
314,NYAPARI,NYAPARI 0872 NT,,,,
327,TJIRRKARLI,TJIRRKARLI 0872 NT,,,,
332,WINGELLINA,WINGELLINA 0872 NT,,,,
383,HMAS RUSHCUTTERS,HMAS RUSHCUTTERS 2027 NSW,,,,
3334,HARMAN,HARMAN 2600 ACT,,,,
4767,INTERNATIONAL MC,INTERNATIONAL MC 2891 NSW,,,,
4795,KINLYSIDE,KINLYSIDE 2913 ACT,,,,
5682,BALLARAT ROADSIDE DELIVERY,BALLARAT ROADSIDE DELIVERY 3352 VIC,,,,
5739,BALLARAT MC,BALLARAT MC 3354 VIC,,,,
6531,PIAVELLA,PIAVELLA 3572 VIC,,,,
7805,SANDGATE DC,SANDGATE DC 4017 QLD,,,,
7920,ROCKLEA DC,ROCKLEA DC 4106 QLD,,,,
7930,HEATHWOOD DF,HEATHWOOD DF 4110 QLD,,,,
7965,UPPER MOUNT GRAVATT BC,UPPER MOUNT GRAVATT BC 4122 QLD,,,,
8132,BUNDALL DC,BUNDALL DC 4217 QLD,,,,
8786,WATSONS CROSSING,WATSONS CROSSING 4385 QLD,,,,
9207,NAMBOUR BC,NAMBOUR BC 4560 QLD,,,,
9431,KINGAROY DC,KINGAROY DC 4610 QLD,,,,
9691,BUNDABERG DC,BUNDABERG DC 4670 QLD,,,,
10181,MACKAY MC,MACKAY MC 4741 QLD,,,,
10682,EARLVILLE BC,EARLVILLE BC 4870 QLD,,,,
10690,MARTYNVALE,MARTYNVALE 4870 QLD,,,,
10771,CAIRNS MC,CAIRNS MC 4872 QLD,,,,
11108,UNLEY DC,UNLEY DC 5061 SA,,,,
11164,GLYNDE DC,GLYNDE DC 5070 SA,,,,
11221,MODBURY NORTH DC,MODBURY NORTH DC 5092 SA,,,,
11367,O'HALLORAN HILL DC,O'HALLORAN HILL DC 5158 SA,,,,
11570,INVERBRACKIE,INVERBRACKIE 5244 SA,,,,
11576,WOODHOUSE,WOODHOUSE 5246 SA,,,,
12498,PANEY,PANEY 5652 SA,,,,
12583,COOK,COOK 5701 SA,,,,
12613,CITY DELIVERY CENTRE,CITY DELIVERY CENTRE 6000 WA,,,,
14335,PERTH,PERTH 6800 WA,,,,
14336,NORTHBRIDGE,NORTHBRIDGE 6803 WA,,,,
14340,TUART HILL,TUART HILL 6937 WA,,,,
14341,TUART HILL,TUART HILL 6938 WA,,,,
14342,TUART HILL,TUART HILL 6940 WA,,,,
14344,CANNINGTON,CANNINGTON 6980 WA,,,,
14355,LOWER SANDY BAY,LOWER SANDY BAY 7006 TAS,,,,
14596,HEARD ISLAND,HEARD ISLAND 7151 TAS,,,,
14598,MCDONALD ISLANDS,MCDONALD ISLANDS 7151 TAS,,,,
15104,HOBART,HOBART 7808 TAS,,,,
15105,HOBART,HOBART 7809 TAS,,,,
15106,LAUNCESTON,LAUNCESTON 7908 TAS,,,,
15107,CAMBERWELL,CAMBERWELL 8627 VIC,,,,
